keyword,current_sv,first3_avg,last3_avg,yoy_pct,peak,peak_month,nonzero_months,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04
answer engine optimisation,10,10.0,10.0,0.0,10,2025-05,12,10,10,10,10,10,10,10,10,10,10,10,10
answer engine optimization,210,183.3,230.0,25.5,260,2026-02,12,170,210,170,170,140,170,210,170,210,260,260,170
brand visibility in ai,10,0.0,10.0,new,20,2026-03,2,0,0,0,0,0,0,0,0,0,0,20,10
chatgpt brand mentions,10,0.0,3.3,new,10,2025-10,3,0,0,0,0,0,10,10,0,0,0,10,0
chatgpt für seo,30,30.0,10.0,-66.7,170,2025-09,12,40,40,10,10,170,20,10,10,20,10,10,10
chatgpt mentions,10,10.0,6.7,-33.3,10,2025-05,10,10,10,10,10,10,10,10,0,10,10,10,0
chatgpt optimierung,10,10.0,13.3,33.3,50,2025-09,11,0,20,10,10,50,10,20,10,10,20,10,10
chatgpt optimization,50,10.0,26.7,166.7,210,2025-09,12,10,10,10,40,210,90,90,50,30,20,30,30
chatgpt ranking,20,26.7,16.7,-37.5,30,2025-05,12,30,30,20,20,10,20,20,10,20,10,20,20
chatgpt seo,590,866.7,323.3,-62.7,1300,2025-09,12,1000,880,720,590,1300,590,390,390,390,390,320,260
chatgpt visibility,10,3.3,10.0,200.0,10,2025-07,10,0,0,10,10,10,10,10,10,10,10,10,10
copilot seo,10,6.7,13.3,100.0,20,2026-01,10,10,0,10,10,0,10,10,10,20,10,10,20
eeat seo,170,96.7,213.3,120.7,260,2026-03,12,90,110,90,90,170,210,210,90,210,210,260,170
entity optimization seo,10,6.7,3.3,-50.0,10,2025-06,4,0,10,10,0,10,0,0,0,0,0,0,10
entity seo,70,33.3,83.3,150.0,140,2025-10,12,40,30,30,30,90,140,70,40,90,70,110,70
gemini seo,30,20.0,60.0,200.0,90,2025-09,12,10,30,20,10,90,20,10,30,20,20,90,70
generative ai optimisation,10,6.7,3.3,-50.0,20,2026-01,8,10,10,0,0,10,10,10,10,20,10,0,0
generative ai optimization,40,40.0,46.7,16.7,90,2025-09,12,30,50,40,20,90,40,30,20,30,50,50,40
generative engine optimisation,50,53.3,33.3,-37.5,210,2025-09,12,70,40,50,30,210,70,50,30,50,20,50,30
generative engine optimisation agency,10,0.0,3.3,new,20,2025-12,6,0,0,0,10,10,0,10,20,10,0,10,0
generative engine optimization,1300,1200.0,1300.0,8.3,1600,2025-09,12,1000,1300,1300,1300,1600,1600,1300,880,1600,1300,1600,1000
generative engine optimization agentur,20,6.7,26.7,300.0,40,2026-03,10,0,0,20,10,10,20,20,30,10,20,40,20
generative engine optimization deutsch,70,26.7,83.3,212.5,110,2026-01,11,0,10,70,50,70,70,70,70,110,90,90,70
generative engine optimization service,20,6.7,33.3,400.0,50,2026-01,11,0,10,10,10,10,10,10,20,50,40,50,10
generative engine optimization vs seo,10,6.7,6.7,0.0,10,2025-05,8,10,0,10,10,10,0,10,10,0,0,10,10
generative search optimization,70,50.0,43.3,-13.3,210,2025-09,12,50,50,50,40,210,90,50,20,70,40,70,20
geo,27100,22200.0,27100.0,22.1,27100,2025-10,12,22200,22200,22200,22200,22200,27100,27100,22200,27100,27100,27100,27100
geo agentur,1000,756.7,1160.0,53.3,1300,2025-09,12,390,880,1000,880,1300,1300,1300,1000,1300,1300,1300,880
geo analyse,70,36.7,123.3,236.4,140,2026-03,12,40,20,50,70,50,70,90,70,70,90,140,140
geo audit,140,33.3,243.3,630.0,390,2026-04,12,10,20,70,70,170,110,90,90,210,170,170,390
geo beratung,10,0.0,40.0,new,50,2026-02,3,0,0,0,0,0,0,0,0,0,50,50,20
geo experte,10,0.0,26.7,new,40,2026-03,2,0,0,0,0,0,0,0,0,0,0,40,40
geo hamburg,260,300.0,280.0,-6.7,320,2025-05,12,320,260,320,260,260,320,260,210,320,320,260,260
geo marketing,390,233.3,516.7,121.4,590,2026-01,12,170,210,320,260,320,390,480,390,590,480,590,480
geo optimierung,880,486.7,1200.0,146.6,1300,2026-02,12,260,480,720,590,880,880,1000,720,1000,1300,1300,1000
geo seo,1900,1460.0,2566.7,75.8,2900,2026-01,12,880,1600,1900,1600,2400,2400,2400,1600,2900,2400,2900,2400
geo strategie,40,23.3,70.0,200.0,90,2026-03,12,30,20,20,10,30,50,30,40,70,70,90,50
geo vs aeo,20,6.7,40.0,500.0,50,2026-02,11,0,10,10,10,10,20,20,20,30,50,30,40
geo vs seo,480,376.7,566.7,50.4,720,2025-09,12,260,390,480,390,720,590,590,390,590,590,720,390
google ai mode optimization,10,0.0,0.0,,10,2025-08,3,0,0,0,10,10,0,10,0,0,0,0,0
google ai mode seo,10,36.7,10.0,-72.7,70,2025-06,11,30,70,10,10,10,30,10,10,0,10,10,10
google ai overviews seo,20,33.3,10.0,-70.0,50,2025-06,12,30,50,20,20,10,10,10,10,10,10,10,10
google sichtbarkeit verbessern,10,10.0,13.3,33.3,30,2026-01,12,10,10,10,10,10,10,10,10,30,10,20,10
ki seo agentur,210,103.3,196.7,90.3,480,2025-09,12,90,110,110,110,480,210,390,260,260,170,210,210
ki sichtbarkeit,110,36.7,170.0,363.6,170,2026-01,11,0,40,70,70,110,140,90,110,170,170,170,170
ki sichtbarkeit messen,40,0.0,93.3,new,140,2026-03,5,0,0,0,0,0,0,0,70,90,50,140,90
ki suchmaschinenoptimierung,70,46.7,70.0,50.0,210,2025-09,12,40,50,50,40,210,140,90,40,70,70,70,70
knowledge graph seo,20,20.0,13.3,-33.3,70,2025-10,12,20,20,20,10,10,70,10,10,10,10,10,20
large language model optimization,30,26.7,40.0,50.0,70,2026-03,12,30,30,20,40,20,30,20,20,40,30,70,20
llm analyse,40,20.0,63.3,216.7,70,2026-02,12,10,30,20,20,20,20,30,30,50,70,50,70
llm brand monitoring,10,0.0,30.0,new,50,2026-01,9,0,0,0,10,10,10,10,20,50,50,30,10
llm monitoring,20,20.0,23.3,16.7,40,2025-10,12,20,20,20,30,20,40,30,10,20,20,20,30
llm optimierung,50,43.3,53.3,23.1,90,2025-10,12,30,50,50,30,50,90,50,40,50,70,50,40
llm optimisation,10,10.0,10.0,0.0,10,2025-05,11,10,10,10,10,0,10,10,10,10,10,10,10
llm optimization,90,96.7,56.7,-41.4,210,2025-10,12,70,110,110,50,70,210,140,70,70,70,70,30
llm seo,170,246.7,116.7,-52.7,320,2025-06,12,210,320,210,170,260,170,140,140,170,140,140,70
llm sichtbarkeit,10,0.0,33.3,new,40,2026-02,6,0,0,0,0,0,0,30,10,30,40,40,20
llm visibility,40,13.3,46.7,250.0,70,2025-12,12,10,10,20,30,20,20,50,70,70,70,40,30
llm visibility audit,10,0.0,3.3,new,10,2025-08,7,0,0,0,10,10,10,10,10,10,0,10,0
llm visibility optimization,10,0.0,3.3,new,10,2025-09,4,0,0,0,0,10,10,0,0,10,0,0,10
llmo,480,676.7,330.0,-51.2,720,2025-06,12,590,720,720,480,590,480,390,320,320,390,390,210
llmo agentur,110,96.7,70.0,-27.6,480,2025-09,12,90,90,110,50,480,110,170,50,50,70,90,50
llmo marketing,10,6.7,10.0,50.0,10,2025-06,11,0,10,10,10,10,10,10,10,10,10,10,10
llmo optimization,10,6.7,3.3,-50.0,10,2025-06,7,0,10,10,10,10,10,10,0,0,10,0,0
llmo seo,10,13.3,10.0,-25.0,20,2025-07,12,10,10,20,10,10,20,10,10,10,10,10,10
llmo vs seo,10,10.0,10.0,0.0,10,2025-05,11,10,10,10,10,10,10,10,10,0,10,10,10
local seo hamburg,140,123.3,173.3,40.5,260,2026-04,12,110,210,50,110,140,50,70,140,110,170,90,260
online reputation seo,10,16.7,13.3,-20.0,20,2025-05,12,20,20,10,10,10,10,10,10,10,10,20,10
perplexity seo,50,33.3,56.7,70.0,110,2025-09,12,20,50,30,70,110,40,10,40,40,50,70,50
seo agentur hamburg,880,1106.7,823.3,-25.6,1300,2025-05,12,1300,1300,720,590,1000,720,590,590,880,1000,880,590
seo beratung hamburg,320,426.7,220.0,-48.4,590,2025-05,12,590,480,210,260,390,210,210,210,210,260,260,140
seo consultant hamburg,20,43.3,16.7,-61.5,70,2025-05,11,70,40,20,20,20,10,10,0,10,10,20,20
seo dienstleister hamburg,10,6.7,6.7,0.0,10,2025-05,4,10,0,10,0,0,0,0,0,0,10,0,10
seo experte hamburg,320,486.7,250.0,-48.6,720,2025-06,12,480,720,260,210,110,260,320,170,260,320,320,110
seo für chatgpt,110,160.0,53.3,-66.7,170,2025-05,12,170,170,140,70,90,170,90,50,140,90,40,30
seo für ki,260,243.3,303.3,24.7,390,2026-03,12,260,210,260,320,260,260,260,260,320,260,390,260
seo für llms,10,0.0,16.7,new,20,2026-02,5,0,0,0,0,0,0,0,10,10,20,20,10
suchmaschinenoptimierung hamburg,1000,1206.7,1300.0,7.7,1900,2026-04,12,1600,1300,720,880,1000,880,1000,590,720,1000,1000,1900
was ist aeo,110,83.3,160.0,92.0,170,2025-09,12,70,90,90,90,170,110,110,90,140,170,170,140
was ist generative engine optimization,90,100.0,83.3,-16.7,320,2025-09,12,140,50,110,70,320,70,90,40,70,90,110,50
was ist geo seo,70,30.0,96.7,222.2,110,2026-01,11,0,50,40,50,70,90,90,90,110,110,90,90
was ist llmo,20,20.0,10.0,-50.0,40,2025-07,11,0,20,40,20,30,20,20,20,20,10,10,10
website optimierung hamburg,70,96.7,70.0,-27.6,110,2025-05,12,110,110,70,70,50,40,30,40,70,70,70,70
wie funktioniert geo,30,6.7,53.3,700.0,70,2026-04,10,0,0,20,10,20,20,30,30,30,40,50,70
zukunft von seo,70,120.0,33.3,-72.2,210,2025-05,12,210,110,40,50,210,50,50,30,40,40,40,20
